Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Treadmill Running,9/12/19 17:07,FALSE,Treadmill Running,5.3,388,0:42:24,168,184,3.5,170,176,8:00,7:16,--,--,1.19,0,0,0,0,0,0:00,0:00,78.8,0:00,No,02:24.1,6,0
Running,9/12/19 12:29,FALSE,Chicago Running,0.45,32,03:51.8,154,167,0.9,175,184,8:38,7:19,--,3,1.06,0,0,0,0,0,0:00,0:00,82.4,0:00,No,00:00.0,1,0
Treadmill Running,9/11/19 18:14,FALSE,Treadmill Running,1.35,101,0:14:36,141,167,2,142,170,10:51,7:41,--,--,1.04,0,0,0,0,0,0:00,0:00,78.8,0:00,No,04:52.3,2,0
Treadmill Running,9/10/19 5:47,FALSE,Treadmill Running,3.27,228,0:24:57,168,188,3.1,172,179,7:38,6:57,--,--,1.22,0,0,0,0,0,0:00,0:00,78.8,0:00,No,02:04.7,4,0
Treadmill Running,9/9/19 17:07,FALSE,Treadmill Running,1.05,75,07:59.2,171,184,2.1,168,174,7:34,7:08,--,--,1.26,0,0,0,0,0,0:00,0:00,80.6,0:00,No,00:24.2,2,0
Treadmill Running,9/9/19 16:37,FALSE,Treadmill Running,3.18,213,0:24:09,162,185,3,168,176,7:36,6:54,--,--,1.26,0,0,0,0,0,0:00,0:00,78.8,0:00,No,01:20.3,4,0
Running,9/7/19 6:46,FALSE,Chicago Running,18.01,"1,473",2:33:27,181,198,5,171,242,8:31,7:21,128,154,1.1,0,0,0,0,0,0:00,0:00,69.8,0:00,No,00:04.2,19,0
Treadmill Running,9/5/19 5:52,FALSE,Treadmill Running,3.3,220,0:24:21,163,177,3,172,180,7:22,6:59,--,--,1.27,0,0,0,0,0,0:00,0:00,77,0:00,No,02:10.8,4,0
Running,9/4/19 16:29,FALSE,Chicago Running,9.01,717,1:12:11,179,191,4.6,175,184,8:01,7:10,82,98,1.15,0,0,0,0,0,0:00,0:00,75.2,0:00,No,00:03.9,10,0
Treadmill Running,9/3/19 5:52,FALSE,Treadmill Running,5.55,371,0:40:19,165,181,3.3,172,226,7:16,5:40,--,--,1.28,0,0,0,0,0,0:00,0:00,77,0:00,No,03:52.4,6,0
Running,9/2/19 10:07,FALSE,Chicago Running,3,221,0:23:46,168,193,3.1,174,184,7:54,7:00,26,46,1.17,0,0,0,0,0,0:00,0:00,80.6,0:00,No,00:03.1,4,0
Running,8/31/19 6:35,FALSE,Chicago Running,12.06,942,1:41:40,171,192,4.5,174,183,8:26,7:29,79,105,1.09,0,0,0,0,0,0:00,0:00,71.6,0:00,No,00:27.9,13,0
Treadmill Running,8/29/19 12:55,FALSE,Treadmill Running,5.04,419,0:41:33,179,191,4,168,174,8:15,6:58,--,--,1.16,0,0,0,0,0,0:00,0:00,80.6,0:00,No,00:36.3,6,0
Treadmill Running,8/28/19 11:57,FALSE,Treadmill Running,8.02,544,1:05:53,158,191,3.5,171,180,8:13,7:17,--,--,1.15,0,0,0,0,0,0:00,0:00,77,0:00,No,00:07.7,9,0
Treadmill Running,8/27/19 5:01,FALSE,Treadmill Running,3.02,229,0:25:12,165,188,3.1,168,181,8:20,7:12,--,--,1.15,0,0,0,0,0,0:00,0:00,77,0:00,No,00:15.6,4,0
Running,8/25/19 15:29,FALSE,Chicago Running,13,"1,042",1:54:33,179,192,4.7,169,242,8:49,7:14,161,171,1.08,0,0,0,0,0,0:00,0:00,78.8,0:00,No,07:55.4,13,0
Running,8/25/19 15:15,FALSE,Chicago Running,1.34,94,0:11:47,149,180,2,173,186,8:46,7:42,3,13,1.06,0,0,0,0,0,0:00,0:00,80.6,0:00,No,02:57.0,2,0
Running,8/23/19 13:59,FALSE,Hamilton County Running,4.01,307,0:34:59,164,189,3.1,172,182,8:44,7:22,62,82,1.07,0,0,0,0,0,0:00,0:00,82.4,0:00,No,00:05.0,5,0
Running,8/22/19 11:56,FALSE,Chicago Running,1.02,66,08:25.5,146,157,1.3,175,184,8:17,7:29,--,16,1.11,0,0,0,0,0,0:00,0:00,84.2,0:00,No,00:06.5,2,0
Running,8/21/19 19:35,FALSE,Chicago Running,1.01,78,08:23.5,166,175,2.1,172,180,8:17,5:40,13,13,1.13,0,0,0,0,0,0:00,0:00,80.6,0:00,No,00:06.6,2,0
Running,8/21/19 18:57,FALSE,Chicago Running,4.01,292,0:32:25,164,187,3.2,173,182,8:04,6:56,23,39,1.15,0,0,0,0,0,0:00,0:00,80.6,0:00,No,00:07.5,5,0
Treadmill Running,8/20/19 17:13,FALSE,Treadmill Running,4.25,323,0:32:47,177,190,3.7,166,172,7:43,7:00,--,--,1.26,0,0,0,0,0,0:00,0:00,78.8,0:00,No,02:11.5,5,0
Treadmill Running,8/18/19 9:58,FALSE,Treadmill Running,15.02,"1,093",1:58:02,178,191,4.9,162,172,7:51,7:12,--,--,1.26,0,0,0,0,0,0:00,0:00,78.8,0:00,No,00:13.3,16,0
Running,8/17/19 8:44,FALSE,Chicago Running,1.16,79,09:47.9,149,188,2,168,184,8:28,7:42,16,7,1.13,0,0,0,0,0,0:00,0:00,77,0:00,No,01:15.7,2,0
